objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,welland_canal001.jpg,,"Timber Unwatering Gate Lock No 1, East Leaf, partially open position 10102",J.A. McDonald,1924-03-29,"A slide of the timber unwatering gate Lock No. 1, East Leaf, partially open position 10102 ",Welland Ship Canal,"St. Catharines, Ontario",43.223004,-79.217863,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;StillImage,image/jpeg,eng,Public domain,
coll002,welland_canal002.jpg,,"Site Twin Locks No 4, looking south, from CNR maintenance crossing bridge 6 6.3B28",J.A. McDonald,1925-10-14,"A slide of the Site Twin Locks No 4, looking south, from CNR maintenance crossing bridge",Welland Ship Canal,"St. Catharines, Ontario",43.13698,-79.19206,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
coll003,welland_canal003.jpg,,Erecting W. Leaf Gates N. end Lock No 8 looking N.W. 8.C.26.F,,1927-11-13,A slide of Erecting W. Leaf Gates N. end Lock No 8 looking N.W. 8.C.26.F,Welland Ship Canal,"Port Colborne, Ontario",42.53897,-79.14809,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
coll004,welland_canal004.jpg,,"General View of Entrance to Lock 1, looking south",,,"A slide of the General View of Entrance to Lock 1, looking south",Welland Ship Canal,"St. Catharines, Ontario",43.223004,-79.217863,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
coll005,welland_canal005.jpg,,General View North end of Lock No 6 and south end of lock No 5,,1924-04-30,A slide of the General View North end of Lock No 6 and south end of lock No 5,Welland Ship Canal,"Thorold, Ontario",43.08099,-79.11528,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
coll006,1.69.jpg,,Life's Little Worries,,,A coloured cartoon slide entitled Life's Little Worries depicts the chief A.J. with apologies and refers to the traffic bridge in Port Colborne,Welland Ship Canal,"Port Colborne, Ontario",42.8864,-79.2486,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
coll007,1.68.jpg,,View of Lock No. 7 looking North,,1928,A hand coloured slide of Lock No. 7 looking North,,"Thorold, Ontario",43.12261,-79.19408,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
coll008,1.64welland.jpg,,"Welland beside the canal, looking south from Main Street Bridge area",,,"A slide of Welland beside the canal, looking south from Main Street Bridge area",Welland Ship Canal,"Welland, Ontario",42.90201,-79.2454,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
coll009,1.63roughlogs.jpg,,"Rough Logs, Douglas Fir for unwatering gate timbers",,,"A slide of Rough Logs, Douglas Fir for unwatering gate timbers",Welland Ship Canal,,,,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,,image/jpeg,eng,Public domain,
coll010,1.57section2.jpg,,Elevating grader outfit working on embankments of section 2,,,A slide of Elevating grader outfit working on embankments of section 2,Welland Ship Canal,,,,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
coll011,1.56lockno4.jpg,,Perspective view of lower end of Lock no. 4 and Power House,,,A slide of a perspective view of lower end of Lock no. 4 and Power House,Welland Ship Canal,"St. Catharines, Ontario",43.13698,-79.19206,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
coll012,"1.55deptrailways,jpg",,Gate Lifter General Plan and Elevation,Department of Railways and Canals,,Welland Ship Canal Gate Lifter General Plan and Elevation,,,,,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
coll013,1.54scherzer.jpg,,"General plan for a Scherzer rolling lift bridge, Welland Ship Canal at Queenston Road",Department of Railways and Canals,,"A slide of a general plan for a Scherzer rolling lift bridge, Welland Ship Canal at Queenston Road",Welland Ship Canal,"St. Catharines, Ontario",43.16652,-79.19503,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
coll014,1.53data.jpg,,"Some data with respect to the Welland Ship Canal including lengths, heights, and weights of metal and steel",Department of Railways and Canals,,"Some data with respect to the Welland Ship Canal including lengths, heights, and weights of metal and steel",Welland Ship Canal,,,,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
coll015,1.52generalplan.jpg,,General Plan Lock no. 2,Department of Railways and Canals,,General Plan Lock no. 2,Welland Ship Canal,,,,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
coll016,1.51bridgepiers.jpg,,Reinforced concrete caisson for bridge piers,Department of Railways and Canals,,Reinforced concrete caisson for bridge piers,Welland Ship Canal,,,,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
coll017,1.50chippawacreek.jpg,,Chippawa Creek Crossing General Plan of syphon culvert,Department of Railways and Canals,,Chippawa Creek Crossing General Plan of syphon culvert,Welland Ship Canal,,,,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
coll018,1.49bridge9.jpg,,"Guard gate and safety weir, looking north with bridge no. 9 closing",J. Joy,1931-08-06,"Guard gate and safety weir, looking north with bridge no. 9 closing",Welland Ship Canal,"Thorold, Ontario",43.11395355,-79.19743423,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
coll019,1.48lock7.jpg,,Lock no. 7 and flight locks looking north,,1931-06-16,Lock no. 7 and flight locks looking north,Welland Ship Canal,"Thorold, Ontario",43.1227,-79.19514,"RG 583, Welland Canal Lantern Slide Collection, 1914-1931",,Image;Stillimage,image/jpeg,eng,Public domain,
